,8024970, 95 B (CIRCE),,,,,,,,
,8025331, 95 B (AMAZONS),,,,,,,,
71539195-96,8025602, 95 A (ULYSSES),,,,,,,,
,8025632, 95 B (NIOBE) 62,,,,,,,,
,8025638, 94 F 11 2,,,,,,,,
,8025642, 94 C 11 3,,,,,,,,
71539197,8025725, 94 C 11 3, 95 A (PYRAMUS AND THISBE), 94 L 32 21,,,,,,
71539235,8025752, 95 A (ULYSSES),,,,,,,,
71539236,8025758, 94 K 31, 94 L 12 2, 94 P 21 1,,,,,,
,8025844, 95 A, 95 B,,,,,,,
,8025858, 95A(ATHAMAS)611,,,,,,,,
,8025858, 95B(INO),,,,,,,,
,8025910, 94 C 11 31, 94 L 7,,,,,,,
,8025942, 95 A (ICARUS) 68,,,,,,,,
,8025980, 95 A (ICARUS) 68, 94 L 3,,,,,,,
,8026043, 94 I 23 3,,,,,,,,
,8026054, 94 C 11 3,,,,,,,,
,8026134, 95 A (PYRAMUS AND THISBE),,,,,,,,
,8026599, 94 H 21 3,,,,,,,,
,8027203, 94 C,,,,,,,,
,8027203, 94 F 83,,,,,,,,
,8027203, 94 F 83, 95 A (HECTOR) 69,,,,,,,
,8027206, 95 A (MIDAS) 6,,,,,,,,
,8027973, 94 I 13,,,,,,,,
,8028023, 94 I 65,,,,,,,,
,8028066, 94 C 13 3,,,,,,,,
,8028127, 94 H 24 3,,,,,,,,
,8028255, 95 A (CLYTEMNESTRA),,,,,,,,
,8029222, 95 B (MANTO),,,,,,,,
,8029410, 95 A (CLEOBIS,,,,,,,,
,8030744, 94 C 11 3,,,,,,,,
,8030851, 95 B (DEIANIRA) 6,,,,,,,,
,8031439, 94 C 11 31,,,,,,,,
,8031719, 94 C 11 3,,,,,,,,
,8031742, 95 A (TELEPHUS) 12 11,,,,,,,,
,8031742, 95 A (TELEPHUS) 12 11,,,,,,,,
,8032126, 94 H 24 3,,,,,,,,
,8032127, 94 H 24 3,,,,,,,,
,8032128, 94 H 24 3,,,,,,,,
,8032280, 95 A (TIRESIAS) 41,,,,,,,,
,8033796, 95 A (NARCISSUS),,,,,,,,
71539276,8034180, 94 G 41 1,,,,,,,,
,8034196, 95 A (ICARUS) 68,,,,,,,,
,8034278, 95 A (PYRAMUS AND THISBE) 24 1,,,,,,,,
71539277,8034280, 94 D 13 21,,,,,,,,
,8034394, 95 A (CEPHALUS) 21 41,,,,,,,,
,8034518, 95 A (PHILEMON AND BAUCIS) 51,,,,,,,,
71539278,8034833, 94 G 63,,,,,,,,
,8035271, 95 B (NIOBE) 62,,,,,,,,
,8035272, 95 B (NIOBE) 62,,,,,,,,
,8035273, 95 B (NIOBE) 61,,,,,,,,
,8035350, 95 B (CASSANDRA),,,,,,,,
,8035360, 94 H 21 3,,,,,,,,
,8035489, 95 B (NIOBE) 62,,,,,,,,
,8035492, 94 I 16,,,,,,,,
,8035493, 94 I 21 1,,,,,,,,
,8035494, 94 I 23 43,,,,,,,,
,8035495, 94 I 21 1,,,,,,,,
,8035496, 95 A (ULYSSES),,,,,,,,
,8035527, 95 B (HERO AND LEANDER) 22,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
,8036150, 94 I,,,,,,,,
71539281,8036276, 95 A (ACHILLES) 1,,,,,,,,
71539282,8037170, 94 G 6,,,,,,,,
,8037217, 95 A (TIRESIAS),,,,,,,,
71539283,8037303, 95 B (GALATHEA),,,,,,,,
,8037497, 95 A (JASON) 3,,,,,,,,
71539284,8037785, 95 B (PHYLLIS),,,,,,,,
71539288,8037950, 94 F,,,,,,,,
,8038040, 95 A (LAOMEDON),,,,,,,,
,8038042, 95 A (JASON),,,,,,,,
,8038142, 95 A (AJAX THE GREAT),,,,,,,,
,8038145, 95 A (HECTOR),,,,,,,,
71542419,8038147, 95 A (HECTOR),,,,,,,,
71542421,8038150, 95 B (ANTIOPE),,,,,,,,
71542422,8038151, 95 B (ANTIOPE),,,,,,,,
71542423,8038155, 95 A (PARIS),,,,,,,,
,8038235, 95 B (IPHIGENIA),,,,,,,,
,8038250, 94 C 11 2,,,,,,,,
,8038251, 95 A (ICARUS),,,,,,,,
,8038274, 94 I,,,,,,,,
,8038282, 94 G,,,,,,,,
,8038287, 94 C 11 3,,,,,,,,
,8038293, 95 A (MIDAS),,,,,,,,
,8038372, 95 B (ARIADNE),,,,,,,,
71542424,8038408, 95 A (TELEMACHUS),,,,,,,,
,8038438, 95 B (ATALANTE) 21 1,,,,,,,,
71542425,8038833, 95 A (CEPHALUS) 21,,,,,,,,
71542426,8038967, 95 A (TANTALUS),,,,,,,,
71542429,8039286, 95 A (ACHILLES),,,,,,,,
71542430,8039308, 95 B (MYRRHA),,,,,,,,
,8039343, 95 A (PYRAMUS AND THISBE),,,,,,,,
71542478,8039532, 95 B (HELEN),,,,,,,,
,8039539, 95 B (ATALANTE),,,,,,,,
,8039540, 95 A (CEPHALUS),,,,,,,,
,8039541, 95 A (PYRAMUS AND THISBE),,,,,,,,
,8039571, 95 A (DAEDALUS), 95 A (ICARUS),,,,,,,
,8039571, 95 A (PARIS),,,,,,,,
,8039572, 95 A (ULYSSES),,,,,,,,
,8039572, 95 A (ULYSSES),,,,,,,,
,8039577, 95 A (ICARUS),,,,,,,,
,8039577, 95 A (PARIS),,,,,,,,
,8039577, 95 A (PARIS), 95 A (JASON),,,,,,,
,8039577, 95 B (HERO AND LEANDER),,,,,,,,
,8039578, 95 A (ICARUS),,,,,,,,
,8039578, 95 A (JASON),,,,,,,,
,8039578, 95 A (PARIS),,,,,,,,
,8039578, 95 A (PARIS),,,,,,,,
,8039578, 95 B (HERO AND LEANDER),,,,,,,,
,8039582, 95 A (PARIS),,,,,,,,
71542481,8039730, 94 G,,,,,,,,
,8039756, 95 A (CEPHALUS) 21,,,,,,,,
,8040011, 94 F 72 : 45 H 3,,,,,,,,
71542547,8040783, 94 I 16,,,,,,,,
71542548,8040784, 94 I 16,,,,,,,,
,8040813, 95 B (CIRCE) : 31 A 11 (+4),,,,,,,,
,8040815, 95 B (CIRCE) : 31 A 11 (+4),,,,,,,,
71542549,8040828, 95 B (CIRCE) : 31 A 11 (+4),,,,,,,,
,8041133, 94 C,,,,,,,,
,8041133, 94 C,,,,,,,,
,8041133, 94 C,,,,,,,,
,8041133, 94 C,,,,,,,,
,8041224, 95 B (PENELOPE),,,,,,,,
,8041225, 95 B (ARIADNE),,,,,,,,
,8041238, 95 B (SEMELE) 51,,,,,,,,
,8041238, 95 B (SEMELE) 51,,,,,,,,
,8041249, 95 A (ULYSSES),,,,,,,,
,8041249, 95 A (ULYSSES),,,,,,,,
,8041767, 95 A (TELEPHUS) 12 11 (+0),,,,,,,,
,8042480, 95 B (AMAZONS) 41,,,,,,,,
71542598,8042918, 95 A (MIDAS),,,,,,,,
,8043326, 95 A (HIPPOLYTUS), 95 B (PHAEDRA) 21 3,,,,,,,
,8043733, 94 C 11 3,,,,,,,,
71542599,8044285, 94 F 74 2,,,,,,,,
,8044339, 94 I 16 2,,,,,,,,
,8044493, 94 F 42 1,,,,,,,,
,8044680, 94 C 11 31,,,,,,,,
,8044697, 95 A (MIDAS) (+0),,,,,,,,
,8044794, 95 B (MINYAN WOMEN) (+0),,,,,,,,
71822037,8044806, 94 I 13 6,,,,,,,,
,8044850, 94 G 33,,,,,,,,
,8045372, 95A(TIRESIAS),,,,,,,,
,8045720, 94 F 74,,,,,,,,
,8045964, 94 F 54,,,,,,,,
,8045965, 94 H 12 21,,,,,,,,
,8045969, 95 A (PARIS) 12,,,,,,,,
,8046023, 94 C 14 4,,,,,,,,
,8046177, 95 B (NIOBE) 62 2,,,,,,,,
71822038,8046444, 94 C 1,,,,,,,,
71822038,8046444, 94 F 12 1,,,,,,,,
71822038,8046444, 94 F 82 2,,,,,,,,
,8046455, 94 C 11 31,,,,,,,,
,8046455, 95 B (ATALANTE) 21 11,,,,,,,,
,8046458, 94 D 13 2,,,,,,,,
,8046828, 94 C 11 2,,,,,,,,
,8046828, 95 A (PARIS),,,,,,,,
,8046828, 95 B (HERO AND LEANDER),,,,,,,,
,8046878, 94 C 22,,,,,,,,
,8046990, 94 D 13 2,,,,,,,,
,8047643, 94 I 16,,,,,,,,
,8047643, 94 I 18 1,,,,,,,,
,8048154, 95 A (PELOPS) 21 3, 95 B (ALCYONE AND CEYX),,,,,,,
71822039-42,8048360, 94 F 82 2,,,,,,,,
,8048991, 94 C 11 1,,,,,,,,
,8048991, 94 C 11 1,,,,,,,,
,8048991, 95 A (PHOENIX),,,,,,,,
,8049314, 94 H 2,,,,,,,,
71822053,8049434, 94 C,,,,,,,,
,8049506, 94 H 2,,,,,,,,
,8049516, 95 A (PARIS),,,,,,,,
,8049517, 95 A (HECTOR),,,,,,,,
71822054,8049569, 95 B (PENELOPE?),,,,,,,,
71822055-056,8049596, 95 A (TELEMACHUS),,,,,,,,
71822057,8049727, 94 C 11 3,,,,,,,,
,8050068, 95 A (GLAUCUS),,,,,,,,
,8050257, 94 C 11 3,,,,,,,,
,8050325, 95 B (PHAEDRA) 21,,,,,,,,
